dataset,model,operator,total,grounded_yes,shortcut_yes,stable_no,unstable_no,unknown,grounded_yes_rate,shortcut_yes_rate,stable_no_rate,unstable_no_rate,reliable_coverage,needs_review_rate
ChestX-Det10,FreedomIntelligence/HuatuoGPT-Vision-7B-Qwen2.5VL,matched_patch,1476,214,234,973,55,0,0.14498644986449866,0.15853658536585366,0.6592140921409214,0.03726287262872629,0.80420054200542,0.19579945799457996
ChestX-Det10,OpenGVLab/InternVL3-8B-hf,matched_patch,1476,77,328,819,252,0,0.0521680216802168,0.2222222222222222,0.5548780487804879,0.17073170731707318,0.6070460704607046,0.39295392953929537
ChestX-Det10,microsoft/llava-med-v1.5-mistral-7b,matched_patch,1476,78,911,379,108,0,0.052845528455284556,0.6172086720867209,0.2567750677506775,0.07317073170731707,0.30962059620596205,0.690379403794038
ChestX-Det10,google/medgemma-4b-it,matched_patch,1476,230,424,729,93,0,0.15582655826558264,0.2872628726287263,0.49390243902439024,0.06300813008130081,0.6497289972899729,0.3502710027100271
ChestX-Det10,Qwen/Qwen2.5-VL-7B-Instruct,matched_patch,1476,154,209,944,169,0,0.1043360433604336,0.14159891598915988,0.6395663956639567,0.11449864498644986,0.7439024390243902,0.25609756097560976
ChestX-Det10,Qwen/Qwen3-VL-8B-Instruct,matched_patch,1476,91,509,691,185,0,0.061653116531165314,0.3448509485094851,0.46815718157181574,0.12533875338753386,0.5298102981029811,0.470189701897019
