model_key,model_name,accuracy,accuracy_ci_low,accuracy_ci_high,precision,precision_ci_low,precision_ci_high,recall,recall_ci_low,recall_ci_high,specificity,specificity_ci_low,specificity_ci_high,f1,f1_ci_low,f1_ci_high,mp_delta_flip,mp_delta_flip_ci_low,mp_delta_flip_ci_high,sci,sci_ci_low,sci_ci_high
qwen25vl,Qwen2.5-VL,0.5565312843029637,0.535675082327113,0.5773874862788145,0.610752688172043,0.5701943844492441,0.6524390243902439,0.31174533479692645,0.28210757409440174,0.3413830954994512,0.8013172338090011,0.7749725576289791,0.8265642151481888,0.41279069767441856,0.37997054491899857,0.444121915820029,0.4154929577464789,0.36059479553903345,0.4722222222222222,-0.10374762294955242,-0.19011464812782047,-0.01921170003958228
qwen3vl,Qwen3-VL,0.7233809001097695,0.703622392974753,0.7442371020856202,0.7527950310559006,0.7307221542227662,0.7776315789473685,0.6652030735455543,0.6322722283205269,0.6948408342480791,0.7815587266739846,0.7541163556531284,0.8090010976948409,0.7062937062937062,0.6832657788071802,0.7302325581395349,0.41914191419141916,0.3798319327731092,0.4568106312292359,0.24606115935413514,0.175461597091291,0.31500890147496985
huatuogpt_vision,HuatuoGPT-Vision,0.615257958287596,0.5938529088913282,0.6355653128430296,0.664576802507837,0.6341085271317829,0.6942771084337349,0.4654226125137212,0.4313940724478595,0.4972557628979144,0.7650933040614709,0.7376509330406147,0.7914379802414928,0.5474499677211104,0.5174456879526004,0.5746980292434837,0.46226415094339623,0.41509433962264153,0.5070422535211268,0.0031584615703249552,-0.07564818107326726,0.08216142327527287
medgemma,MedGemma,0.6701427003293084,0.6525795828759605,0.6899012074643249,0.8137651821862348,0.7834394904458599,0.8459958932238193,0.44127332601536773,0.4083424807903403,0.47420417124039516,0.8990120746432492,0.8792535675082327,0.9176728869374314,0.5722419928825623,0.5396825396825398,0.6041958041958042,0.4527363184079602,0.40559440559440557,0.5012285012285013,-0.011462992392592464,-0.09288602043816097,0.06860976564598958
internvl3,InternVL3,0.7672886937431395,0.747530186608123,0.7870472008781558,0.7299338999055713,0.7095890410958904,0.751219512195122,0.8485181119648738,0.8254665203073546,0.8715697036223929,0.686059275521405,0.6542261251372119,0.7178924259055982,0.784771573604061,0.766734279918864,0.8030226700251889,0.07891332470892626,0.06145966709346991,0.09707446808510638,0.7696047872559475,0.7283920522222482,0.810110036528923
llava_med,LLaVA-Med,0.5142700329308453,0.49451152579582874,0.5334796926454446,0.524904214559387,0.4897196261682243,0.5585412667946257,0.300768386388584,0.2711306256860593,0.32930845225027444,0.7277716794731065,0.6981339187705817,0.7541163556531284,0.3824145150034892,0.35140700068634184,0.41124057573680606,0.014598540145985401,0.0035211267605633804,0.0299625468164794,0.2861698462425986,0.2411680788695799,0.32578732548971107
