model_key,total,skipped,analyzable,with_flip,flip_case_rate,hit1_rate,intersect1_rate,source_file
huatuogpt_vision,100,79,21,17,0.8095238095238095,0.17647058823529413,0.29411764705882354,results/huatuogpt_vision_chestxdet10_crs_100_metrics.csv
internvl3,100,65,35,15,0.42857142857142855,0.06666666666666667,0.26666666666666666,results/internvl3_chestxdet10_crs_100_metrics.csv
llava_med,100,39,61,14,0.22950819672131148,0.14285714285714285,0.2857142857142857,results/llava_med_chestxdet10_crs_100_metrics.csv
medgemma,100,56,44,21,0.4772727272727273,0.09523809523809523,0.42857142857142855,results/medgemma_chestxdet10_crs_100_metrics.csv
qwen25vl,100,82,18,15,0.8333333333333334,0.3333333333333333,0.3333333333333333,results/qwen25vl_chestxdet10_crs_100_metrics.csv
qwen3vl,100,59,41,29,0.7073170731707317,0.2413793103448276,0.5172413793103449,results/qwen3vl_chestxdet10_crs_100_metrics.csv
