model_key,model_name,accuracy,accuracy_ci_low,accuracy_ci_high,precision,precision_ci_low,precision_ci_high,recall,recall_ci_low,recall_ci_high,specificity,specificity_ci_low,specificity_ci_high,f1,f1_ci_low,f1_ci_high,mp_delta_flip,mp_delta_flip_ci_low,mp_delta_flip_ci_high,sci,sci_ci_low,sci_ci_high
qwen25vl,Qwen2.5-VL,0.5528455284552846,0.5376016260162602,0.5667344173441734,0.6368421052631579,0.5970425138632163,0.6707964601769911,0.2459349593495935,0.2222222222222222,0.2696476964769648,0.8597560975609756,0.8414634146341463,0.8760162601626016,0.3548387096774194,0.32525951557093424,0.3834048640915593,0.42424242424242425,0.3770949720670391,0.4754601226993865,-0.17830746489283075,-0.25323790047716427,-0.10744727559007433
qwen3vl,Qwen3-VL,0.5772357723577236,0.5609756097560976,0.5938346883468835,0.6172839506172839,0.5936254980079682,0.6434511434511434,0.4065040650406504,0.3821138211382114,0.43224932249322495,0.7479674796747967,0.7269647696476965,0.7682926829268293,0.4901960784313726,0.4668611921634014,0.5145161290322581,0.15166666666666667,0.12203389830508475,0.18041237113402062,0.2548373983739837,0.2017014500041908,0.3102154241881402
huatuogpt_vision,HuatuoGPT-Vision,0.5833333333333334,0.5691056910569106,0.5978997289972899,0.6892307692307692,0.6591928251121076,0.7210776545166403,0.3035230352303523,0.28116531165311653,0.32723577235772355,0.8631436314363143,0.8462059620596206,0.8794037940379403,0.4214487300094073,0.39662447257383965,0.4484512251502542,0.47767857142857145,0.43058823529411766,0.5258426966292135,-0.17415553619821916,-0.24467738497609692,-0.10335246293639411
medgemma,MedGemma,0.6388888888888888,0.6229674796747967,0.6554878048780488,0.7282850779510023,0.7021517553793885,0.7520091848450058,0.44308943089430897,0.4180216802168022,0.46883468834688347,0.8346883468834688,0.8150406504065041,0.8509485094850948,0.5509688289806235,0.5273420941076727,0.5747800586510264,0.3516819571865443,0.31386861313868614,0.38863287250384027,0.09140747370776464,0.02938880771296193,0.15496607520819733
internvl3,InternVL3,0.5457317073170732,0.5315040650406504,0.5606368563685636,0.6,0.5701357466063348,0.6325648414985591,0.27439024390243905,0.25338753387533874,0.29742547425474253,0.8170731707317073,0.7974254742547425,0.8360433604336044,0.3765690376569038,0.352497643732328,0.40349264705882354,0.19012345679012346,0.15296803652968036,0.22877358490566038,0.08426678711231558,0.024613948969678362,0.14445743772506217
llava_med,LLaVA-Med,0.5633468834688347,0.5450542005420054,0.5806233062330624,0.5522054718034618,0.5375139977603584,0.5661764705882353,0.6700542005420054,0.6463414634146342,0.6937669376693767,0.45663956639566394,0.43089430894308944,0.4803523035230352,0.6054484236302419,0.5879086983343615,0.6215722120658136,0.0788675429726997,0.062186559679037114,0.09670563230605739,0.5911866575693057,0.5496358311085767,0.6315803779903396
