dataset,model,total,missing,strongly_grounded_yes,strongly_shortcut_yes,strongly_stable_no,strongly_unstable_no,mixed_yes,mixed_no,mixed_or_unknown,strongly_grounded_yes_rate,strongly_shortcut_yes_rate,strongly_stable_no_rate,strongly_unstable_no_rate,mixed_yes_rate,mixed_no_rate,mixed_or_unknown_rate,source_file
ChestX-Det10,FreedomIntelligence/HuatuoGPT-Vision-7B-Qwen2.5VL,1476,0,161,144,952,10,143,66,0,0.10907859078590786,0.0975609756097561,0.6449864498644986,0.006775067750677507,0.09688346883468835,0.044715447154471545,0.0,results/huatuogpt_vision_ccf_ensemble_summary.csv
ChestX-Det10,OpenGVLab/InternVL3-8B-hf,1476,0,30,306,715,94,69,262,0,0.02032520325203252,0.2073170731707317,0.48441734417344173,0.06368563685636856,0.046747967479674794,0.17750677506775067,0.0,results/internvl3_ccf_ensemble_summary.csv
ChestX-Det10,microsoft/llava-med-v1.5-mistral-7b,1476,0,41,785,364,9,163,114,0,0.027777777777777776,0.5318428184281843,0.24661246612466126,0.006097560975609756,0.11043360433604336,0.07723577235772358,0.0,results/llava_med_ccf_ensemble_summary.csv
ChestX-Det10,google/medgemma-4b-it,1476,0,143,387,667,28,124,127,0,0.09688346883468835,0.2621951219512195,0.4518970189701897,0.018970189701897018,0.08401084010840108,0.08604336043360433,0.0,results/medgemma_ccf_ensemble_summary.csv
ChestX-Det10,Qwen/Qwen2.5-VL-7B-Instruct,1476,0,100,131,887,17,132,209,0,0.06775067750677506,0.08875338753387534,0.6009485094850948,0.011517615176151762,0.08943089430894309,0.14159891598915988,0.0,results/qwen25vl_ccf_ensemble_summary.csv
ChestX-Det10,Qwen/Qwen3-VL-8B-Instruct,1476,0,47,416,669,38,137,169,0,0.03184281842818428,0.28184281842818426,0.4532520325203252,0.025745257452574527,0.09281842818428185,0.11449864498644986,0.0,results/qwen3vl_ccf_ensemble_summary.csv
