model_key,model_name,pathology,total,original_yes,original_no,original_yes_rate,matched_patch_yes_to_no,matched_patch_yes_to_yes,matched_patch_no_to_yes,matched_patch_no_to_no,matched_patch_other,matched_patch_delta_flip,matched_patch_artifact_flip,zero_yes_to_no,zero_yes_to_yes,zero_no_to_yes,zero_no_to_no,zero_other,zero_delta_flip,zero_artifact_flip,blur_yes_to_no,blur_yes_to_yes,blur_no_to_yes,blur_no_to_no,blur_other,blur_delta_flip,blur_artifact_flip
internvl3,InternVL3,Edema,83,67,16,0.8072289156626506,31,36,5,11,0,0.4626865671641791,0.3125,64,3,0,16,0,0.9552238805970149,0.0,64,3,0,16,0,0.9552238805970149,0.0
internvl3,InternVL3,Enlarged Cardiomediastinum,297,264,33,0.8888888888888888,6,258,31,2,0,0.022727272727272728,0.9393939393939394,107,157,8,25,0,0.4053030303030303,0.24242424242424243,84,180,12,21,0,0.3181818181818182,0.36363636363636365
internvl3,InternVL3,Lung Lesion,14,8,6,0.5714285714285714,1,7,2,4,0,0.125,0.3333333333333333,3,5,1,5,0,0.375,0.16666666666666666,2,6,1,5,0,0.25,0.16666666666666666
internvl3,InternVL3,Pleural Effusion,120,66,54,0.55,19,47,22,32,0,0.2878787878787879,0.4074074074074074,35,31,4,50,0,0.5303030303030303,0.07407407407407407,39,27,2,52,0,0.5909090909090909,0.037037037037037035
internvl3,InternVL3,Pneumothorax,10,0,10,0.0,0,0,0,10,0,0.0,0.0,0,0,0,10,0,0.0,0.0,0,0,0,10,0,0.0,0.0
llava_med,LLaVA-Med,Atelectasis,177,177,0,1.0,0,177,0,0,0,0.0,0.0,0,177,0,0,0,0.0,0.0,0,177,0,0,0,0.0,0.0
llava_med,LLaVA-Med,Cardiomegaly,175,0,175,0.0,0,0,0,175,0,0.0,0.0,0,0,0,175,0,0.0,0.0,0,0,0,175,0,0.0,0.0
llava_med,LLaVA-Med,Consolidation,35,13,22,0.37142857142857144,3,10,5,17,0,0.23076923076923078,0.22727272727272727,8,5,3,19,0,0.6153846153846154,0.13636363636363635,8,5,2,20,0,0.6153846153846154,0.09090909090909091
llava_med,LLaVA-Med,Edema,83,83,0,1.0,0,83,0,0,0,0.0,0.0,0,83,0,0,0,0.0,0.0,0,83,0,0,0,0.0,0.0
llava_med,LLaVA-Med,Enlarged Cardiomediastinum,297,0,297,0.0,0,0,0,297,0,0.0,0.0,0,0,0,297,0,0.0,0.0,0,0,0,297,0,0.0,0.0
llava_med,LLaVA-Med,Lung Lesion,14,0,14,0.0,0,0,0,14,0,0.0,0.0,0,0,0,14,0,0.0,0.0,0,0,0,14,0,0.0,0.0
llava_med,LLaVA-Med,Pleural Effusion,120,1,119,0.008333333333333333,1,0,0,119,0,1.0,0.0,1,0,0,119,0,1.0,0.0,1,0,0,119,0,1.0,0.0
llava_med,LLaVA-Med,Pneumothorax,10,0,10,0.0,0,0,0,10,0,0.0,0.0,0,0,0,10,0,0.0,0.0,0,0,0,10,0,0.0,0.0
