model_key,model_name,positive_n,negative_n,tp,fn,tn,fp,pos_other,neg_other,accuracy,precision,recall,specificity,f1,false_positive_rate,false_negative_rate
qwen25vl,Qwen2.5-VL,911,911,284,627,730,181,0,0,0.5565312843029637,0.610752688172043,0.31174533479692645,0.8013172338090011,0.41279069767441856,0.1986827661909989,0.6882546652030735
qwen3vl,Qwen3-VL,911,911,606,305,712,199,0,0,0.7233809001097695,0.7527950310559006,0.6652030735455543,0.7815587266739846,0.7062937062937062,0.21844127332601537,0.3347969264544457
huatuogpt_vision,HuatuoGPT-Vision,911,911,424,487,697,214,0,0,0.615257958287596,0.664576802507837,0.4654226125137212,0.7650933040614709,0.5474499677211104,0.2349066959385291,0.5345773874862788
medgemma,MedGemma,911,911,402,509,819,92,0,0,0.6701427003293084,0.8137651821862348,0.44127332601536773,0.8990120746432492,0.5722419928825623,0.10098792535675083,0.5587266739846323
internvl3,InternVL3,911,911,773,138,625,286,0,0,0.7672886937431395,0.7299338999055713,0.8485181119648738,0.686059275521405,0.784771573604061,0.313940724478595,0.1514818880351262
llava_med,LLaVA-Med,911,911,274,637,663,248,0,0,0.5142700329308453,0.524904214559387,0.300768386388584,0.7277716794731065,0.3824145150034892,0.2722283205268935,0.6992316136114161
