model_key,model_name,positive_n,negative_n,tp,fn,tn,fp,pos_other,neg_other,accuracy,precision,recall,specificity,f1,false_positive_rate,false_negative_rate
qwen25vl,Qwen2.5-VL,1476,1476,363,1113,1269,207,0,0,0.5528455284552846,0.6368421052631579,0.2459349593495935,0.8597560975609756,0.3548387096774194,0.1402439024390244,0.7540650406504065
qwen3vl,Qwen3-VL,1476,1476,600,876,1104,372,0,0,0.5772357723577236,0.6172839506172839,0.4065040650406504,0.7479674796747967,0.4901960784313726,0.2520325203252033,0.5934959349593496
huatuogpt_vision,HuatuoGPT-Vision,1476,1476,448,1028,1274,202,0,0,0.5833333333333334,0.6892307692307692,0.3035230352303523,0.8631436314363143,0.4214487300094073,0.13685636856368566,0.6964769647696477
medgemma,MedGemma,1476,1476,654,822,1232,244,0,0,0.6388888888888888,0.7282850779510023,0.44308943089430897,0.8346883468834688,0.5509688289806235,0.16531165311653118,0.556910569105691
internvl3,InternVL3,1476,1476,405,1071,1206,270,0,0,0.5457317073170732,0.6,0.27439024390243905,0.8170731707317073,0.3765690376569038,0.18292682926829273,0.725609756097561
llava_med,LLaVA-Med,1476,1476,989,487,674,802,0,0,0.5633468834688347,0.5522054718034618,0.6700542005420054,0.45663956639566394,0.6054484236302419,0.5433604336043361,0.3299457994579946
