model_key,model_name,total,original_accuracy,original_yes,original_no,original_other,original_yes_rate,matched_patch_accuracy,matched_patch_yes_rate,matched_patch_yes_to_no,matched_patch_no_to_yes,matched_patch_delta_flip,matched_patch_artifact_flip,zero_accuracy,zero_yes_rate,zero_yes_to_no,zero_no_to_yes,zero_delta_flip,zero_artifact_flip,blur_accuracy,blur_yes_rate,blur_yes_to_no,blur_no_to_yes,blur_delta_flip,blur_artifact_flip
qwen25vl,Qwen2.5-VL,911,0.31174533479692645,284,627,0,0.31174533479692645,0.2678375411635565,0.2678375411635565,118,78,0.4154929577464789,0.12440191387559808,0.043907793633369926,0.043907793633369926,249,5,0.8767605633802817,0.007974481658692184,0.03732162458836443,0.03732162458836443,253,3,0.8908450704225352,0.004784688995215311
qwen3vl,Qwen3-VL,911,0.6652030735455543,606,305,0,0.6652030735455543,0.45993413830954993,0.45993413830954993,254,67,0.41914191419141916,0.21967213114754097,0.2897914379802415,0.2897914379802415,364,22,0.6006600660066007,0.07213114754098361,0.27661909989023054,0.27661909989023054,378,24,0.6237623762376238,0.07868852459016394
huatuogpt_vision,HuatuoGPT-Vision,911,0.4654226125137212,424,487,0,0.4654226125137212,0.29637760702524696,0.29637760702524696,196,42,0.46226415094339623,0.08624229979466119,0.06256860592755215,0.06256860592755215,371,4,0.875,0.008213552361396304,0.06366630076838639,0.06366630076838639,370,4,0.8726415094339622,0.008213552361396304
medgemma,MedGemma,911,0.44127332601536773,402,509,0,0.44127332601536773,0.2579582875960483,0.2579582875960483,182,15,0.4527363184079602,0.029469548133595286,0.1207464324917673,0.1207464324917673,294,2,0.7313432835820896,0.003929273084479371,0.1141602634467618,0.1141602634467618,300,2,0.746268656716418,0.003929273084479371
internvl3,InternVL3,911,0.8485181119648738,773,138,0,0.8485181119648738,0.858397365532382,0.858397365532382,61,70,0.07891332470892626,0.5072463768115942,0.6245883644346871,0.6245883644346871,220,16,0.2846054333764554,0.11594202898550725,0.6476399560922064,0.6476399560922064,201,18,0.26002587322121606,0.13043478260869565
llava_med,LLaVA-Med,911,0.300768386388584,274,637,0,0.300768386388584,0.3018660812294182,0.3018660812294182,4,5,0.014598540145985401,0.007849293563579277,0.29418221734357847,0.29418221734357847,9,3,0.032846715328467155,0.004709576138147566,0.29308452250274425,0.29308452250274425,9,2,0.032846715328467155,0.0031397174254317113
